mechanism_id,mechanism_name,description,related_scenarios,typical_actors,historical_examples,possible_observations,source_title,source_type,source_date,source_url,confidence_note
M-001,Technology Containment,Restrictions or controls that limit access to sensitive technologies,Export Controls; Sanctions; Trade Policy,governments; technology firms; suppliers,Huawei Entity List; ASML Export Controls,licenses; entity lists; restricted equipment; cloud access limits,Technology Containment,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-002,Strategic Dependency,Exposure created by reliance on concentrated suppliers or jurisdictions,Supply Chain Disruption; Industrial Policy; Export Controls,manufacturers; suppliers; governments,COVID Supply Chain Disruption; CHIPS Act,supplier concentration; critical inputs; geographic dependency,Strategic Dependency,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-003,Supply Chain Reconfiguration,Operational shifts in sourcing routes suppliers or inventory strategy,Supply Chain Disruption; Trade Policy; Industrial Policy,procurement teams; logistics firms; manufacturers,Red Sea Shipping Disruption; Brexit Supply Chain Uncertainty,rerouting; alternate suppliers; inventory buffers; qualification cycles,Supply Chain Reconfiguration,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-004,Capital Constraint,Limits on investment or operating flexibility caused by funding costs margins or liquidity,Earnings / Corporate Disclosure; Banking; Strategic Investment,executives; banks; investors,Major Earnings Guidance Withdrawal During COVID,margin pressure; capex commentary; liquidity planning,Capital Constraint,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-005,Market Access Restriction,Reduced ability to serve supply or transact in a target market,Export Controls; Sanctions; Trade Policy,exporters; regulators; customers,Russia Sanctions; Huawei Entity List,restricted customers; end-use screening; transaction limits,Market Access Restriction,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-006,Industrial Subsidy,Government incentives that shape investment production or supply location,Industrial Policy; Strategic Investment,governments; manufacturers; suppliers,CHIPS Act; Inflation Reduction Act,tax credits; grants; eligibility rules; domestic content,Industrial Subsidy,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-007,Security Escalation,Heightened security conditions that affect operations or cross-border flows,Military / Security Shock; Supply Chain Disruption; Sanctions,militaries; governments; shippers,Taiwan Strait Exercises; Red Sea Shipping Disruption,military activity; route changes; advisories; insurance terms,Security Escalation,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-008,Regulatory Shock,Sudden or material change in compliance obligations,Regulatory Action; Banking; Trade Policy,regulators; firms; compliance teams,GDPR Implementation,new rules; enforcement; reporting obligations,Regulatory Shock,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-009,Information Uncertainty,Limited visibility that complicates interpretation and executive communication,Earnings / Corporate Disclosure; Supply Chain Disruption; Other,executives; analysts; customers,Guidance Withdrawals During COVID,uncertain demand; unclear timelines; missing source details,Information Uncertainty,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-010,Demand Shock,Change in customer demand visibility or order patterns,Earnings / Corporate Disclosure; Supply Chain Disruption,customers; firms; suppliers,COVID Demand Shifts,order delays; revenue commentary; demand visibility,Demand Shock,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-011,Financial Intermediation Stress,Pressure on deposits liquidity credit or banking controls,Earnings / Corporate Disclosure; Regulatory Action; Sanctions,banks; regulators; depositors,Regional banking stress episodes,deposit costs; liquidity planning; credit provisions,Financial Intermediation Stress,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-012,Compliance Burden,Operational workload created by screening reporting licensing or documentation,Export Controls; Sanctions; Regulatory Action; Trade Policy,legal teams; compliance teams; regulators,Export control regimes; sanctions programs,screening; licenses; documentation; policy updates,Compliance Burden,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-013,Alliance Coordination,Policy alignment or divergence among allied governments,Export Controls; Industrial Policy; Sanctions,governments; agencies; firms,ASML Export Controls; Russia Sanctions,joint statements; aligned rules; implementation differences,Alliance Coordination,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-014,Chokepoint Exposure,Dependence on narrow routes facilities technologies or inputs,Supply Chain Disruption; Export Controls; Energy,shippers; suppliers; equipment makers,Red Sea Shipping; semiconductor equipment controls,route concentration; specialized equipment; port delays,Chokepoint Exposure,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-015,Policy Signaling,Government action used to signal strategic priorities or boundaries,Industrial Policy; Trade Policy; Military / Security Shock,governments; regulators; firms,CHIPS Act; Taiwan Strait Exercises,public guidance; funding priorities; security messaging,Policy Signaling,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-016,Operational Resilience,Organizational ability to adapt workflows sourcing or controls,Supply Chain Disruption; Regulatory Action; Export Controls,operators; executives; suppliers,COVID Supply Chain Disruption,contingency plans; alternate routes; monitoring routines,Operational Resilience,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-017,Counterparty Risk,Exposure arising from customers suppliers banks or partners,Sanctions; Banking; Trade Policy; Export Controls,banks; exporters; suppliers; customers,Russia Sanctions; banking compliance cases,screening alerts; payment exceptions; contract reviews,Counterparty Risk,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-018,Legislative Implementation Gap,Difference between enacted policy and operational implementation,Industrial Policy; Regulatory Action; Trade Policy,lawmakers; agencies; firms,CHIPS Act; IRA implementation,eligibility rules; agency guidance; compliance deadlines,Legislative Implementation Gap,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-019,Reputational Sensitivity,Stakeholder perception risk linked to public policy security or compliance issues,Sanctions; Regulatory Action; Earnings / Corporate Disclosure,executives; customers; regulators; media,sanctions compliance cases; public disclosures,public statements; stakeholder concern; disclosure language,Reputational Sensitivity,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
M-020,Input Cost Pressure,Cost pressure from freight inputs capital or compliance,Supply Chain Disruption; Earnings / Corporate Disclosure; Energy,firms; suppliers; logistics providers,Red Sea Shipping; inflation periods,freight costs; margin pressure; pricing commentary,Input Cost Pressure,Mechanism framework entry,source pending,source pending,"Deterministic framework entry; use for classification support, not factual proof."
